Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
1	NCT04372602	Duvelisib to Combat COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Duvelisib|Procedure: Peripheral blood draw	Phase 2	Interventional	"Washington University School of Medicine, Saint Louis, Missouri, United States"	https://ClinicalTrials.gov/show/NCT04372602
2	NCT04425538	A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).	Recruiting	No Results Available	COVID-19	Drug: Infliximab	Phase 2	Interventional	"Tufts Medical Center, Boston, Massachusetts, United States"	https://ClinicalTrials.gov/show/NCT04425538
3	NCT04454307	Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients	Not yet recruiting	No Results Available	COVID-19	Drug: Tramadol|Other: Standard care delivered in the isolation hospitals.	Phase 1|Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04454307
4	NCT04452435	Safety and Efficacy of C21 in Subjects With COVID-19	Recruiting	No Results Available	COVID-19	Drug: C21|Drug: Placebo	Phase 2	Interventional	"Department of Medicine, Civil Hospital and B J Medical College, Ahmadabad, Gujarat, India|Department of Medicine, Noble Hospitals Pvt. Ltd, Pune, Maharashtra, India|Respiratory Medicine, University College Hospital, London, United Kingdom"	https://ClinicalTrials.gov/show/NCT04452435
5	NCT04333550	Application of Desferal to Treat COVID-19	Recruiting	No Results Available	COVID-19	Drug: Deferoxamine	Phase 1|Phase 2	Interventional	"Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04333550
6	NCT04432987	Dornase Alpha for the Treatment of COVID-19	Recruiting	No Results Available	COVID-19	Drug: Pulmozyme	Phase 2	Interventional	"Acıbadem Altunizade Hospital, Istanbul, Turkey"	https://ClinicalTrials.gov/show/NCT04432987
7	NCT04336904	Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19	"Active, not recruiting"	No Results Available	COVID-19	Drug: Favipiravir|Other: Placebo	Phase 3	Interventional	"Asst Fatebenefratelli Sacco, Milano, Italy"	https://ClinicalTrials.gov/show/NCT04336904
8	NCT04445272	Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19	Drug: Tocilizumab	Phase 2	Interventional	"Hospital Universitario de Cabueñes, Gijón, Asturias, Spain|Hospital Universitario Central Asturias, Oviedo, Asturias, Spain|Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain|Hospital Sant Joan de Déu de Manresa, Manresa, Barcelona, Spain|Hospital de Mataró, Mataró, Barcelona, Spain|Hospital Universitario de Galdakao, Galdakao, Bizkaia, Spain|Hospital Universitario Marqués Valdecilla, Santander, Cantabria, Spain|Hospital Público General del Tomelloso, Tomelloso, Ciudad Real, Spain|Hospital Jerez de la Frontera, Jerez De La Frontera, Cádiz, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Islas Baleares, Spain|Hospital Universitario Fundación Alcorcón, Alcorcón, Madrid, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Infanta Sofía, San Sebastián De Los Reyes, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Nuestra Señora del Prado, Talavera De La Reina, Toledo, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, Spain|Hospital Infanta Cristina, Badajoz, Spain|Hospital Clínic i Provincial Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital General Universitario de Ciudad Real, Ciudad Real, Spain|Hospital San Pedro Alcántara, Cáceres, Spain|Hospital Universitario Dr. Josep Trueta, Gerona, Spain|Hospital Universitario Clínico San Cecilio, Granada, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario HM Sanchinarro, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Complexo Hospitalario Universitario de Ourense, Orense, Spain|Hospital Universitario Salamanca, Salamanca, Spain|Hospital Universitario Virgen de la Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Virgen de la Salud, Toledo, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitari i Poliectenic La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain"	https://ClinicalTrials.gov/show/NCT04445272
9	NCT04354831	A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection	Recruiting	No Results Available	COVID-19	Biological: anti-SARS-CoV-2 convalescent plasma	Phase 2	Interventional	"Froedtert Hospital, Milwaukee, Wisconsin, United States"	https://ClinicalTrials.gov/show/NCT04354831
10	NCT04345445	Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression	Not yet recruiting	No Results Available	COVID-19	Drug: Tocilizumab|Drug: Methylprednisolone	Phase 3	Interventional	"University Malaya Medical Centre, Kuala Lumpur, Malaysia"	https://ClinicalTrials.gov/show/NCT04345445
