""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"79"	79	"NCT04343768"	"An Investigation Into Beneficial Effects of Interferon Beta 1a, Compared to Interferon Beta 1b And The Base Therapeutic Regiment in Moderate to Severe COVID-19: A Randomized Clinical Trial"	"Completed"	"No Results Available"	"COVID-19"	"drug: hydroxychloroquine|drug: lopinavir / ritonavir|drug: interferon beta-1a|drug: interferon beta-1b"	"Phase 2"	"Interventional"	"Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of"	"https://ClinicalTrials.gov/show/NCT04343768"
"95"	95	"NCT04350671"	"Interferon Beta 1a in Hospitalized COVID-19 Patients"	"Enrolling by invitation"	"No Results Available"	"COVID-19"	"drug: interferon beta-1a|drug: lopinavir / ritonavir|drug: single dose of hydroxychloroquine"	"Phase 4"	"Interventional"	"Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of"	"https://ClinicalTrials.gov/show/NCT04350671"
"100"	100	"NCT04350684"	"Umifenovir in Hospitalized COVID-19 Patients"	"Enrolling by invitation"	"No Results Available"	"COVID-19"	"drug: umifenovir|drug: interferon-β 1a|drug: lopinavir / ritonavir|drug: single dose of hydroxychloroquine|drug: standards of care"	"Phase 4"	"Interventional"	"Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of"	"https://ClinicalTrials.gov/show/NCT04350684"
"231"	231	"NCT04331899"	"Single-Blind Study of a Single Dose of Peginterferon Lambda-1a Compared With Placebo in Outpatients With Mild COVID-19"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: peginterferon lambda-1a|other: placebo"	"Phase 2"	"Interventional"	"Stanford University School of Medicine, Stanford, California, United States"	"https://ClinicalTrials.gov/show/NCT04331899"
"309"	309	"NCT04449380"	"Clinical Study for the Treatment With Interferon-ß-1a (IFNß-1a) of COVID-19 Patients"	"Not yet recruiting"	"No Results Available"	"COVID-19 Virus Infection"	"drug: interferon-ß-1a|combination product: standard of care (soc)"	"Phase 2"	"Interventional"	"IRCCS Ospedale San Raffaele, Milano, Italy"	"https://ClinicalTrials.gov/show/NCT04449380"
"461"	461	"NCT04343976"	"Pegylated Interferon Lambda Treatment for COVID-19"	"Enrolling by invitation"	"No Results Available"	"COVID-19|COVID"	"drug: pegylated interferon lambda"	"Phase 2"	"Interventional"	"Massachusetts General Hospital, Boston, Massachusetts, United States"	"https://ClinicalTrials.gov/show/NCT04343976"
"484"	484	"NCT04291729"	"Evaluation of Ganovo （Danoprevir ） Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection"	"Completed"	"No Results Available"	"COVID-19"	"drug: ganovo+ritonavir+/-interferon nebulization"	"Phase 4"	"Interventional"	"The Ninth Hospital of Nanchang, Nanchang, Jiangxi, China"	"https://ClinicalTrials.gov/show/NCT04291729"
"565"	565	"NCT04354259"	"Interferon Lambda for Immediate Antiviral Therapy at Diagnosis in COVID-19"	"Recruiting"	"No Results Available"	"Sars-CoV2|Covid-19"	"drug: peginterferon lambda-1a|other: placebo"	"Phase 2"	"Interventional"	"Toronto General Hospital, Toronto, Ontario, Canada"	"https://ClinicalTrials.gov/show/NCT04354259"
"605"	605	"NCT04385095"	"Trial of Inhaled Anti-viral (SNG001) for SARS-CoV-2 (COVID-19) Infection"	"Recruiting"	"No Results Available"	"SARS-CoV-2"	"drug: interferon beta 1a|drug: placebo"	"Phase 2"	"Interventional"	"Belfast City Hospital, Belfast, United Kingdom|Queen Elizabeth Hospital,, Birmingham, United Kingdom|Bradford Royal Infirmary, Bradford, United Kingdom|Hull and East Yorkshire NHS Trust, Castle Hill Hospital,, Hull, United Kingdom|Glenfield Hospital,, Leicester, United Kingdom|Wythenshawe Hospital, Manchester, United Kingdom|City Campus of Nottingham University, Nottingham, United Kingdom|John Radcliffe Hospital, Oxford, United Kingdom|University Hospital Southampton Nhs Foundation Trust, Southampton, United Kingdom"	"https://ClinicalTrials.gov/show/NCT04385095"
"647"	647	"NCT04349410"	"The Fleming [FMTVDM] Directed CoVid-19 Treatment Protocol"	"Enrolling by invitation"	"No Results Available"	"CoVid 19 Positive"	"drug: hydroxychloroquine, azithromycin|drug: hydroxychloroquine, doxycycline|drug: hydroxychloroquine, clindamycin|drug: hydroxychloroquine, clindamycin, primaquine - low dose.|drug: hydroxychloroquine, clindamycin, primaquine - high dose.|drug: remdesivir|drug: tocilizumab|drug: methylprednisolone|drug: interferon-alpha2b|drug: losartan|drug: convalescent serum"	"Phase 2|Phase 3"	"Interventional"	"FHHI-OI-Camelot; QME, Los Angeles, California, United States"	"https://ClinicalTrials.gov/show/NCT04349410"
