""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"8"	8	"NCT04445272"	"Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: tocilizumab"	"Phase 2"	"Interventional"	"Hospital Universitario de Cabueñes, Gijón, Asturias, Spain|Hospital Universitario Central Asturias, Oviedo, Asturias, Spain|Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain|Hospital Sant Joan de Déu de Manresa, Manresa, Barcelona, Spain|Hospital de Mataró, Mataró, Barcelona, Spain|Hospital Universitario de Galdakao, Galdakao, Bizkaia, Spain|Hospital Universitario Marqués Valdecilla, Santander, Cantabria, Spain|Hospital Público General del Tomelloso, Tomelloso, Ciudad Real, Spain|Hospital Jerez de la Frontera, Jerez De La Frontera, Cádiz, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Islas Baleares, Spain|Hospital Universitario Fundación Alcorcón, Alcorcón, Madrid, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Infanta Sofía, San Sebastián De Los Reyes, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Nuestra Señora del Prado, Talavera De La Reina, Toledo, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, Spain|Hospital Infanta Cristina, Badajoz, Spain|Hospital Clínic i Provincial Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital General Universitario de Ciudad Real, Ciudad Real, Spain|Hospital San Pedro Alcántara, Cáceres, Spain|Hospital Universitario Dr. Josep Trueta, Gerona, Spain|Hospital Universitario Clínico San Cecilio, Granada, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario HM Sanchinarro, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Complexo Hospitalario Universitario de Ourense, Orense, Spain|Hospital Universitario Salamanca, Salamanca, Spain|Hospital Universitario Virgen de la Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Virgen de la Salud, Toledo, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitari i Poliectenic La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain"	"https://ClinicalTrials.gov/show/NCT04445272"
"10"	10	"NCT04345445"	"Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression"	"Not yet recruiting"	"No Results Available"	"COVID-19"	"drug: tocilizumab|drug: methylprednisolone"	"Phase 3"	"Interventional"	"University Malaya Medical Centre, Kuala Lumpur, Malaysia"	"https://ClinicalTrials.gov/show/NCT04345445"
"69"	69	"NCT04317092"	"Tocilizumab in COVID-19 Pneumonia (TOCIVID-19)"	"Recruiting"	"No Results Available"	"COVID-19 Pneumonia"	"drug: tocilizumab injection"	"Phase 2"	"Interventional"	"Azienda Ospedaliera \"SS. Antonio e Biagio e C. Arrigo\" (Dipartimento Internistico SSD Reumatologia), Alessandria, Italy|Ospedale di Busto Arsizio ASST Valle Olona (U.O.C. Malattie Infettive), Busto Arsizio, Italy|A.O.U. Policlinico V. Emanuele (U.O. di Malattie infettive, U.O. di Anestesia e Rianimazione, U.O. di Medicina d'Urgenza), Catania, Italy|AOE Cannizzaro di Catania (U.O. di Malattie Infettive, U.O. di Anestesia e Rianimazione, U.O., Catania, Italy|Ospedale Annunziata Azienda Ospedaliera di Cosenza (U.O.C. Malattie Infettive), Cosenza, Italy|ASST OVEST MILANESE presidi Legnano - Magenta, Magenta, Italy|Azienda Ospedaliero-Universitaria di Modena, Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione I), Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione II), Modena, Italy|A.O.U. di Modena (Dipartimento Medicine Specialistiche - Struttura Complessa Malattie Infettive), Modena, Italy|Dipartimento Medicine Specialistiche - Struttura Complessa Malattie dell'Apparato Respiratorio, Modena, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Oncologia), Naples, Italy|National Cancer Institute, Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Anestesia Rianimazione e terapia intensiva), Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Malattie Infettive ad indirizzo respiratorio), Naples, Italy|A.O. Ospedali Riuniti Marche Nord - Presidio Ospedaliero San Salvatore di Pesaro (UOC Pronto Soccorso e Medicina d'Urgenza), Pesaro, Italy|Denominazione: UOC di Medicina e Chirurgia d'Accettazione e d'Urgenza dell'Ospedale Santa Maria delle Grazie di Pozzuoli, Pozzuoli, Italy|Ospedale Santa Maria delle Croci, AUSL della Romagna (U.O. Anestesia e Rianimazione), Ravenna, Italy|Grande Ospedale Metropolitano, Reggio Calabria, Reggio Calabria, Italy|Ospedale Infermi, AUSL della Romagna (U.O. Malattie Infettive), Rimini, Italy|Policlinico Gemelli (U.O.C. Dipartimento Scienze di Laboratorio e Infettivologiche), Rome, Italy|ASST Sette Laghi (Dipartimento di Medicina Interna), Varese, Italy|ASST Sette Laghi (Dipartimento Emergenze ed Urgenze), Varese, Italy|ASST Sette Laghi (U.O.C. Anestesia e Rianimazione Neurochirurgica e Generale), Varese, Italy|ASST Sette Laghi (U.O.C. Malattie Infettive e Tropicali), Varese, Italy|A.O.U. Integrata di Verona (Dip. Malattie Infettive), Verona, Italy|Ospedale Magalini (U.O. Malattie Infettive), Villafranca Di Verona, Italy"	"https://ClinicalTrials.gov/show/NCT04317092"
"121"	121	"NCT04330638"	"Treatment of COVID-19 Patients With Anti-interleukin Drugs"	"Recruiting"	"No Results Available"	"COVID-19"	"other: usual care|drug: anakinra|drug: siltuximab|drug: tocilizumab"	"Phase 3"	"Interventional"	"AZ Sint-Jan Brugge, Brugge, Belgium|University Hospital Saint-Pierre, Brussels, Belgium|Erasmus University Hospital, Brussels, Belgium|University Hospital Saint-Luc, Brussels, Belgium|University Hospital Antwerp, Edegem, Belgium|Ziekenhuis Oost-Limurg, Genk, Belgium|AZ Sint-Lucas, Gent, Belgium|University Hospital Ghent, Gent, Belgium|Jessa ZH, Hasselt, Belgium|University Hospital Brussels, Jette, Belgium|CHU Tivoli, La Louvière, Belgium|CHR de la Citadelle, Liège, Belgium|University Hospital Liège, Liège, Belgium|Cliniques Saint-Pierre Ottignies, Ottignies-Louvain-la-Neuve, Belgium|AZ Delta, Roeselare, Belgium"	"https://ClinicalTrials.gov/show/NCT04330638"
"182"	182	"NCT04412772"	"A RCT - Safety & Efficacy of Tocilizumab - Tx of Severe COVID-19: ARCHITECTS"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: tocilizumab|drug: placebo"	"Phase 3"	"Interventional"	"Queen's Medical Center, Honolulu, Hawaii, United States"	"https://ClinicalTrials.gov/show/NCT04412772"
"205"	205	"NCT04331795"	"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis"	"Completed"	"No Results Available"	"COVID-19"	"drug: tocilizumab"	"Phase 2"	"Interventional"	"University of Chicago Medicine, Chicago, Illinois, United States"	"https://ClinicalTrials.gov/show/NCT04331795"
"213"	213	"NCT04377659"	"Tocilizumab for Prevention of Respiratory Failure in Patients With Severe COVID-19 Infection"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: tocilizumab"	"Phase 2"	"Interventional"	"Memorial Sloan Kettering Cancer Center, New York, New York, United States"	"https://ClinicalTrials.gov/show/NCT04377659"
"242"	242	"NCT04332094"	"Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of COVID-19"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: tocilizumab|drug: hydroxychloroquine|drug: azithromycin"	"Phase 2"	"Interventional"	"Hospital de la Santa Creu i Sant Pau, Barcelona, Spain"	"https://ClinicalTrials.gov/show/NCT04332094"
"278"	278	"NCT04346355"	"Efficacy of Early Administration of Tocilizumab in COVID-19 Patients"	"Terminated"	"No Results Available"	"COVID-19 Pneumonia"	"drug: tocilizumab"	"Phase 2"	"Interventional"	"Ospedale di Guastalla, Guastalla, RE, Italy|Azienda Unità Sanitaria Locale-IRCCS di Reggio Emilia, Reggio Emilia, RE, Italy|Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|Policlinico Sant'Orsola Malpighi, Bologna, Italy|ASST Cremona, Cremona, Italy|Azienda Ospedaliera S. Croce e Carle, Cuneo, Italy|Azienda Ospedaliero Universitaria Ferrara, Ferrara, Italy|Azienda Ospedaliero Universitaria Careggi, Firenze, Italy|Ospedale Evangelico Internazionale di Genova, Genova, Italy|Azienda Sociosanitaria ASL 1 ,Imperia, Imperia, Italy|Azienda Sociosanitaria ASL 5 La Spezia, La Spezia, Italy|ASST Mantova - Ospedale Carlo Poma, Mantova, Italy|IRCCS Istituto Auxologico Italiano Milano, Milano, Italy|Azienda Ospedaliero-Universitaria \"Maggiore della Carità\" di Novara, Novara, Italy|Ospedali Riuniti Padova Sud - ULSS 6 Euganea, Padova, Italy|Azienda Ospedaliero-Universitaria Parma, Parma, Italy|Azienda Unità Sanitaria Locale di Piacenza, Piacenza, Italy|Azienda Ospedaliera Universitaria Pisana, Pisa, Italy|AO Ordine Mauriziano di Torino, Torino, Italy|ASST Bergamo Ovest -Treviglio, Treviglio, Italy|AULSS 2 Marca Trevigiana, Treviso, Italy|AULSS2 Marca Trevigiana - Ospedale Vittorio Veneto, Treviso, Italy|AULSS 3 Serenissima Ospedale \"Dell'Angelo\", Venezia, Italy|Azienda Ospedaliera Universitaria Integrata di Verona, Verona, Italy|IRCCS Sacro Cuore Don Calabria, Verona, Italy"	"https://ClinicalTrials.gov/show/NCT04346355"
"284"	284	"NCT04320615"	"A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia"	"Active, not recruiting"	"No Results Available"	"COVID-19 Pneumonia"	"drug: tocilizumab (tcz)|drug: placebo"	"Phase 3"	"Interventional"	"University of California San Diego, La Jolla, California, United States|eStudySite, La Mesa, California, United States|David Geffen School of Medicine UCLA, Los Angeles, California, United States|Stanford University, Stanford, California, United States|Denver Health Medical Center, Denver, Colorado, United States|University of Miami Miller School of Medicine, Miami, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Ochsner Clinic Foundation, Baton Rouge, Louisiana, United States|Baystate Health System, Springfield, Massachusetts, United States|Mayo Clinic - PPDS, Rochester, Minnesota, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Robert Wood Johnson University Hospital/Rutgers, New Brunswick, New Jersey, United States|James J Peters Veterans Administration Medical Center - NAVREF, Bronx, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Cleveland Clinic Foundation; Pulmonary, Allergy & Critical Care Medicine, Cleveland, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Baylor St. Luke's Medical Center, Houston, Texas, United States|Ben Taub General Hospital - HCHD, Houston, Texas, United States|Intermountain Medical Group, Saint George, Utah, United States|Intermountain LDS Hospital, Salt Lake City, Utah, United States|Evergreen Health Infectious Disease, Kirkland, Washington, United States|Swedish Hospital Medical Center, Seattle, Washington, United States|Hamilton General Hospital; Pharmacy, Hamilton, Ontario, Canada|St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|Clinical Research Institute of Montreal, Montreal, Quebec, Canada|Rigshospitalet Copenhagen University Hospital, Copenhagen, Denmark|Hvidovre Hospital, Hvidovre, Denmark|Odense Universitetshospital, Odense C, Denmark|Sjællands Universitetshospital, Roskilde, Roskilde, Denmark|Centre Hospitalier Departemental de Vendee, La Roche Sur Yon, France|Centre Hospitalier et Universitaire de Limoges, Limoges, France|Hôpital de La Croix Rousse, Lyon, France|Hotel Dieu - Nantes, Nantes, France|Hopital de la Pitie Salpetriere, Paris, France|HOPITAL COCHIN university hospital, Paris, France|CHRU de Tours, Pharmacie, Tours, France|Universitatsklinikum Dusseldorf, Dusseldorf, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Uniklinik Köln, Köln, Germany|LMU Klinikum der Universitat Munchen, Munchen, Germany|Azienda Ospedaliera Dei Colli, Napoli, Campania, Italy|Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS, Roma, Lazio, Italy|ASST Papa Giovanni XXIII; Dipartimento Interaziendale di Farmacia Clinica, Bergamo, Lombardia, Italy|ASST Fatebenefratelli Sacco - Ospedale Luigi Sacco, Milano, Lombardia, Italy|Azienda Ospedaliera San Gerardo di Monza, Monza MI, Lombardia, Italy|Fondazione IRCCS Policlinico San Matteo di Pavia; S.S. Fisiopatologia Respiratoria, Pavia, Lombardia, Italy|Amphia Ziekenhuis, Breda, Netherlands|St. Antonius Ziekenhuis Nieuwegein, Nieuwegein, Netherlands|Erasmus MC, Rotterdam, Netherlands|Universitair Medisch Centrum Utrecht, Utrecht, Netherlands|Hospital Universitario de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital General Universitario Gregorio Maranon, Madrid, Spain|Hospital Universitario HM Sanchinarro-CIOCC, Madrid, Spain|Greater Glasgow and Clyde Health Board, Glasgow, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|University College Hospital, London, United Kingdom|Royal Free Hospital, London, United Kingdom|St George's Clinical Research Facility, London, United Kingdom|Imperial College London, London, United Kingdom|North Manchester General Hospital, Manchester, United Kingdom|Salford Royal Hospital, Salford, United Kingdom"	"https://ClinicalTrials.gov/show/NCT04320615"
