""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"56"	56	"NCT04412252"	"Safety and Efficacy of Tofacitinib in Hospitalized Participants With COVID-19 Pneumonia Who Are Receiving Standard of Care Therapy"	"Not yet recruiting"	"No Results Available"	"COVID-19"	"drug: tofacitinib|other: placebo"	"Phase 2"	"Interventional"	"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States"	"https://ClinicalTrials.gov/show/NCT04412252"
"72"	72	"NCT04348071"	"Safety and Efficacy of Ruxolitinib for COVID-19"	"Not yet recruiting"	"No Results Available"	"COVID-19"	"drug: ruxolitinib"	"Phase 2|Phase 3"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04348071"
"73"	73	"NCT04340232"	"Safety and Efficacy of Baricitinib for COVID-19"	"Not yet recruiting"	"No Results Available"	"COVID-19"	"drug: baricitinib"	"Phase 2|Phase 3"	"Interventional"	"University of Colorado, Denver, Aurora, Colorado, United States"	"https://ClinicalTrials.gov/show/NCT04340232"
"75"	75	"NCT04321993"	"Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: lopinavir/ritonavir|drug: hydroxychloroquine sulfate|drug: baricitinib (janus kinase inhibitor)"	"Phase 2"	"Interventional"	"Nova Scotia Health Authority, Halifax, Nova Scotia, Canada"	"https://ClinicalTrials.gov/show/NCT04321993"
"84"	84	"NCT04401579"	"Adaptive COVID-19 Treatment Trial 2 (ACTT-II)"	"Recruiting"	"No Results Available"	"COVID-19"	"other: placebo|drug: remdesivir|drug: baricitinib"	"Phase 3"	"Interventional"	"University of Alabama at Birmingham School of Medicine - Infectious Disease, Birmingham, Alabama, United States|University of California San Diego Health - Jacobs Medical Center, La Jolla, California, United States|University of California Los Angeles Medical Center - Westwood Clinic, Los Angeles, California, United States|University of California Irvine Medical Center - Infectious Disease, Orange, California, United States|VA Palo Alto Health Care System - Infectious Diseases, Palo Alto, California, United States|Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Palo Alto, California, United States|University of California Davis Medical Center - Internal Medicine - Infectious Disease, Sacramento, California, United States|Naval Medical Center San Diego - Infectious Disease Clinic, San Diego, California, United States|University of California San Francisco - Zuckerberg San Francisco General Hospital - Division of Human Immunodeficiency Virus, Infectious Disease, and Global Medicine, San Francisco, California, United States|Cedars Sinai Medical Center, West Hollywood, California, United States|Rocky Mountain Regional Veteran Affairs Medical Center - Department of Infectious Diseases, Aurora, Colorado, United States|Denver Health Division of Hospital Medicine - Main Campus, Denver, Colorado, United States|Georgetown University Medical Center - Division of Infectious Diseases, Washington, District of Columbia, United States|University of Florida Health - Shands Hospital - Division of Infectious Diseases and Global Medicine, Gainesville, Florida, United States|University of Miami Miller School of Medicine - Infectious Diseases, Miami, Florida, United States|Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|Atlanta VA Medical Center - Infectious Diseases Clinic, Decatur, Georgia, United States|Northwestern Hospital - Infectious Disease, Chicago, Illinois, United States|University of Illinois at Chicago College of Medicine - Division of Infectious Diseases, Chicago, Illinois, United States|Indiana University School of Medicine - Infectious Diseases, Indianapolis, Indiana, United States|Ochsner Medical Center - Kenner - Department of Infectious Diseases, Kenner, Louisiana, United States|Southeast Louisiana Veterans Health Care System (SLVHCS) - Section of Infectious Diseases, New Orleans, Louisiana, United States|University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Baltimore, Maryland, United States|Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States|Massachusetts General Hospital - Infectious Diseases, Boston, Massachusetts, United States|University of Massachusetts Medical School - Infectious Diseases and Immunology, Worcester, Massachusetts, United States|University of Minnesota Medical Center, Fairview - Infectious Diseases and International Medicine, Minneapolis, Minnesota, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States|University of New Mexico Clinical and Translational Science Center, Albuquerque, New Mexico, United States|Montefiore Medical Center - Infectious Diseases, Bronx, New York, United States|New York University School of Medicine - Langone Medical Center - Microbiology - Parasitology, New York, New York, United States|University of Rochester Medical Center - Vaccine Research Unit, Rochester, New York, United States|Duke Human Vaccine Institute - Duke Vaccine and Trials Unit, Durham, North Carolina, United States|Penn State Health Milton S. Hershey Medical Center - Division of Infectious Diseases, Hershey, Pennsylvania, United States|University of Pennsylvania Perelman School of Medicine - Penn Institute for Immunology, Philadelphia, Pennsylvania, United States|Vanderbilt University Medical Center - Infectious Diseases, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center - Internal Medicine - Infectious Diseases, Dallas, Texas, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States|University of Texas Health Science Center at San Antonio - Infectious Diseases, San Antonio, Texas, United States|University of Virginia - Acute Care Surgery, Charlottesville, Virginia, United States|Naval Medical Center Portsmouth - Infectious Disease Division, Portsmouth, Virginia, United States|EvergreenHealth Infectious Disease Service, Kirkland, Washington, United States|Providence Sacred Heart Medical Center, Spokane, Washington, United States|Madigan Army Medical Center - Infectious Disease Clinic, Tacoma, Washington, United States|National Center for Global Health and Medicine Hospital - Disease Control and Prevention Center, Tokyo, Japan|Seoul National University Bundang Hospital - Division of Infectious Diseases, Bundang-gu Seongnam-si, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán - Departamento de Infectologia, Mexico City, Mexico|Instituto Nacional de Enfermedades Respiratorias (INER) - Ismael Cosío Villegas, Mexico City, Mexico|National University Health System - Division of Infectious Diseases, Singapore, Singapore|National Centre for Infectious Diseases (NCID), Singapore, Singapore|Changi General Hospital - Clinical Trials and Research Unit (CTRU), Singapore, Singapore|Ng Teng Fong General Hospital - Infectious Disease Service, Singapore, Singapore"	"https://ClinicalTrials.gov/show/NCT04401579"
"99"	99	"NCT04354714"	"Ruxolitinib to Combat COVID-19"	"Withdrawn"	"No Results Available"	"COVID-19"	"drug: ruxolitinib|procedure: peripheral blood draw"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04354714"
"117"	117	"NCT04377620"	"Assessment of Efficacy and Safety of Ruxolitinib in Participants With COVID-19-Associated ARDS Who Require Mechanical Ventilation (RUXCOVID-DEVENT)"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: placebo|drug: ruxolitinib"	"Phase 3"	"Interventional"	"Georgetown University Hospital, Washington, District of Columbia, United States|Tampa General Hospital, Tampa, Florida, United States|Indiana University Simon Cancer Center, Indianapolis, Indiana, United States|Boston Medical Center, Boston, Massachusetts, United States|Lahey Clinic Inc., Burlington, Massachusetts, United States|UMass MMC - University Campus, Worcester, Massachusetts, United States|Duke University Medical Center, Durham, North Carolina, United States|Jefferson Hospital, Philadelphia, Pennsylvania, United States|West Penn Hospital, Pittsburgh, Pennsylvania, United States"	"https://ClinicalTrials.gov/show/NCT04377620"
"150"	150	"NCT04415151"	"Tofacitinib for Treatment of Moderate COVID-19"	"Not yet recruiting"	"No Results Available"	"COVID-19"	"drug: tofacitinib 10 mg|drug: placebo"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04415151"
"175"	175	"NCT04421027"	"A Study of Baricitinib (LY3009104) in Participants With COVID-19"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: baricitinib|drug: placebo"	"Phase 3"	"Interventional"	"Chandler Regional Medical Center, Chandler, Arizona, United States|Mercy Gilbert Medical Center, Gilbert, Arizona, United States|Valleywise Health, Phoenix, Arizona, United States|St Josephs Hospital and Medical Center, Phoenix, Arizona, United States|Sharp Healthcare, San Diego, California, United States|San Francisco VA Medical Center, San Francisco, California, United States|Morehouse School of Medicine, Atlanta, Georgia, United States|Community Hospital South, Indianapolis, Indiana, United States|White Oak Medical Center, Adventist Healthcare, Silver Spring, Maryland, United States|South Shore Hospital, Weymouth, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|SUNY Downstate, Brooklyn, New York, United States|Oregon Health and Science University, Portland, Oregon, United States|Temple University School of Medicine, Philadelphia, Pennsylvania, United States|Swedish Medical Center, Seattle, Washington, United States|Multicare Health System, Tacoma, Washington, United States|Hospital Z.G.A.D \"Evita Pueblo\", Berazategui, Buenos Aires, Argentina|Sanatorio de la Trinidad Mitre, Caba, Buenos Aires, Argentina|Fundacion Sanatorio Guemes, Caba, Buenos Aires, Argentina|Hospital Central de San Isidro \"Dr. Melchor Ángel Posse\", San Isidro, Buenos Aires, Argentina|Clinica Central S.A., Villa Regina, Rio Negro, Argentina|Hospital San Roque, Cordoba, Argentina|Hospital Felício Rocho, Belo Horizonte, Minas Gerais, Brazil|CEPETI Centro de Ensino e Pesquisa em Terapia Intensiva, Curitiba, Paraná, Brazil|CPCLIN, Natal, Rio Grande Do Norte, Brazil|Hospital de Clinicas de Porto Alegre, Porto Alegre, RS, Brazil|Pesquisare, Santo Andre, Sao Paulo, Brazil|Upeclin - Unidade de Pesquisa Clínica da Faculdade de Medicina de Botucatu - UNESP, Botucatu, São Paulo, Brazil|Hospital PUC-CAMPINAS, Campinas, São Paulo, Brazil|Real e Benemerita Associação Portuguesa de Beneficiencia, São Paulo, Brazil|Hospital Alemão Oswaldo Cruz, São Paulo, Brazil|Universidade Federal de São Paulo - Escola Paulista de Medicina, São Paulo, Brazil|Hospital Santa Paula, São Paulo, Brazil|Casa de Saude Santa Marcelina - Centro de Pesquisa Clinica, São Paulo, Brazil|Universitätsklinikum Erlangen, Erlangen, Bayern, Germany|Universitätsklinikum Schleswig-Holstein, Kiel, Schleswig-Holstein, Germany|Klinikum Chemnitz gGmbH, Chemnitz, Germany|Ospedale Clinicizzato SS Annunziata, Chieti Scalo, Chieti, Italy|INMI Lazzaro Spallanzani, Roma, Rome, Italy|ASST Fatebenefratelli - Ospedale Luigi Sacco, Milano, Italy|Ospedale Niguarda Ca Granda, Milano, Italy|Nuovo Ospedale di Prato S. Stefano, Prato, Italy|Medica Sur, Mexico, DF, Mexico|Instituto Nacional de Cardiologia Ignacio Chavez, Mexico, DF, Mexico|Instituto Nacional de Cancerologia, Mexico City, FD, Mexico|ITESM Campus Monterrey, Monterrey, Nuevo Leon, Mexico|Hospital Universitario \"Dr. Jose Eleuterio Gonzalez\", Monterrey, Nuevo León, Mexico|Infectious Clinical Hospital #2, Moscow, Russian Federation|City Clinical Hospital #15 named after O.M. Filatov, Moscow, Russian Federation|City Clinical Hospital #64, Moscow, Russian Federation|Saint-Petersburg City Pokrovskaya Hospital, Saint-Petersburg, Russian Federation|Hospital Txagorritxu, Vitoria, Alava, Spain|Hospital Universitario Infanta Leonor-INTERNAL MED, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Royal Cornwall Hospital, Truro, Cornwall, United Kingdom|St. George'S Healthcare Nhs Trust, London, United Kingdom"	"https://ClinicalTrials.gov/show/NCT04421027"
"308"	308	"NCT04414098"	"Ruxolitinib in the Treatment of Covid-19"	"Not yet recruiting"	"No Results Available"	"COVID-19"	"drug: inc424 / ruxolitinib"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04414098"
