""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"277"	277	"NCT04417335"	"Reducing COVID-19 Related Hospital Admission in Elderly by BCG Vaccination"	"Active, not recruiting"	"No Results Available"	"COVID-19"	"biological: bcg vaccine|biological: placebo"	"Phase 4"	"Interventional"	"Radboud University, Nijmegen, Gelderland, Netherlands|UMC Utrecht, Utrecht, Netherlands"	"https://ClinicalTrials.gov/show/NCT04417335"
"301"	301	"NCT04328441"	"Reducing Health Care Workers Absenteeism in Covid-19 Pandemic Through BCG Vaccine"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: bcg vaccine|drug: placebo"	"Phase 3"	"Interventional"	"Jeroen Bosch ziekenhuis, Den Bosch, Brabant, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Gelderland, Netherlands|Radboud UMC, Nijmegen, Gelderland, Netherlands|Sint Maartenskliniek, Nijmegen, Gelderland, Netherlands|Noordwest Ziekenhuisgroep locatie Alkmaar, Alkmaar, Noord Holland, Netherlands|Hagaziekenhuis, Den Haag, Zuid-Holland, Netherlands|Leiden University Medical Center, Leiden, Zuid-Holland, Netherlands|Erasmus Medical Center, Rotterdam, Zuid-Holland, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands"	"https://ClinicalTrials.gov/show/NCT04328441"
"373"	373	"NCT04362124"	"Performance Evaluation of BCG Vaccination in Healthcare Personnel to Reduce the Severity of SARS-COV-2 Infection"	"Not yet recruiting"	"No Results Available"	"COVID-19"	"biological: vaccine bcg|other: placebo"	"Phase 3"	"Interventional"	"Program for Research and Control in Tropical Diseases - PECET, Medellín, Antioquia, Colombia"	"https://ClinicalTrials.gov/show/NCT04362124"
"384"	384	"NCT04350931"	"Application of BCG Vaccine for Immune-prophylaxis Among Egyptian Healthcare Workers During the Pandemic of COVID-19"	"Not yet recruiting"	"No Results Available"	"Coronavirus Disease (COVID-19)"	"biological: intradermal injection of bcg vaccine|other: placebo"	"Phase 3"	"Interventional"	"Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center, Cairo, Non-US, Egypt"	"https://ClinicalTrials.gov/show/NCT04350931"
"412"	412	"NCT04379336"	"BCG Vaccination for Healthcare Workers in COVID-19 Pandemic"	"Recruiting"	"No Results Available"	"COVID-19|Sars-CoV2"	"biological: bacille calmette-guérin (bcg)|other: placebo comparator"	"Phase 3"	"Interventional"	"TASK Foundation, Cape Town, Western Cape, South Africa"	"https://ClinicalTrials.gov/show/NCT04379336"
"728"	728	"NCT04327206"	"BCG Vaccination to Protect Healthcare Workers Against COVID-19"	"Recruiting"	"No Results Available"	"Coronavirus Disease 2019 (COVID-19)|Respiratory Illness|Corona Virus Infection|COVID-19"	"drug: bcg vaccine|drug: 0.9%nacl"	"Phase 3"	"Interventional"	"St Vincent's Hospital, Sydney, Sydney, New South Wales, Australia|Prince of Wales Hospital, Sydney, New South Wales, Australia|Sydney Children's Hospital, Randwick, Sydney, New South Wales, Australia|The Children's Hospital at Westmead, Sydney, New South Wales, Australia|Westmead Hospital, Sydney, New South Wales, Australia|Royal Adelaide Hospital, Adelaide, South Australia, Australia|South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia|Women's and Children's Hospital, North Adelaide, South Australia, Australia|Epworth Victoria Parade, Melbourne, Victoria, Australia|Royal Children's Hospital, Melbourne, Victoria, Australia|Epworth Richmond, Melbourne, Victoria, Australia|Epworth Eastern, Melbourne, Victoria, Australia|Monash Health- Monash Medical Centre, Melbourne, Victoria, Australia|Fiona Stanley Hospital, Murdoch, Western Australia, Australia|Perth Children's Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia"	"https://ClinicalTrials.gov/show/NCT04327206"
"792"	792	"NCT04414267"	"Bacillus Calmette-guérin Vaccination to Prevent COVID-19"	"Recruiting"	"No Results Available"	"COVID-19|Virus Diseases|Corona Virus Infection|Coronary Heart Disease|Chronic Obstructive Pulmonary Disease"	"biological: bcg vaccine|biological: placebo"	"Phase 4"	"Interventional"	"General Hospital of Argolida - Nafplion Unit, Náfplio, Argos, Greece|2nd Department of Internal Medicine, University General Hospital of Alexandroupolis, Alexandroupolis, Greece|1st Department of Internal Medicine, General Hospital of Athens G. GENNIMATAS, Athens, Greece|2nd University Department of Internal Medicine, IPPOKRATEION General Hospital of Athens, Athens, Greece|3rd University Department of Internal Medicine, General Hospital of Chest Diseases of Athens I SOTIRIA, Athens, Greece|4th Department of Internal Medicine, \"Attikon\" University Hospital, National and Kapodistrian University of Athens, Medical School, Athens, Greece|1st Department of Internal Medicine, General University Hospital of Ioannina, Ioánnina, Greece|General Hospital of Korinthos, Kórinthos, Greece|Department of Internal Medicine, Patras University Hospital, Patras, Greece|General Hospital of Ptolemaida MPODOSAKEIO, Ptolemaḯda, Greece|1st Department of Internal Medicine, AHEPA University General Hospital of Thessaloniki, Thessaloníki, Greece|General Hospital of Imathia - Veria Unit, Véria, Greece"	"https://ClinicalTrials.gov/show/NCT04414267"
"811"	811	"NCT04369794"	"COVID-19: BCG As Therapeutic Vaccine, Transmission Limitation, and Immunoglobulin Enhancement"	"Not yet recruiting"	"No Results Available"	"COVID-19|Therapeutic Vaccine|BCG|SARS-CoV 2|Transmission"	"biological: bcg|biological: placebo"	"Phase 4"	"Interventional"	"Hospital das Clínicas Unicamp, Campinas, SP, Brazil"	"https://ClinicalTrials.gov/show/NCT04369794"
"875"	875	"NCT04373291"	"Using BCG Vaccine to Protect Health Care Workers in the COVID-19 Pandemic"	"Not yet recruiting"	"No Results Available"	"COVID-19|Non-specific Effects of Vaccines|Morbidity|Absenteeism|Heterologous Immunity"	"biological: bcg-denmark|biological: saline"	"Phase 3"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04373291"
"1150"	1150	"NCT04384549"	"Efficacy of BCG Vaccination in the Prevention of COVID19 Via the Strengthening of Innate Immunity in Health Care Workers"	"Not yet recruiting"	"No Results Available"	"Infection|Viral, Agent as Cause of Disease Classified Elsewhere"	"biological: bcg group|other: placebo group"	"Phase 3"	"Interventional"	"I-REIVAC/CIC 1417 Cochin Hospital, APHP, Paris, France"	"https://ClinicalTrials.gov/show/NCT04384549"
